시도명,시군구명,합계
강원특별자치도,양구군,71
강원특별자치도,인제군,97
강원특별자치도,고성군,92
강원특별자치도,양양군,99
전북특별자치도,전주시 완산구,296
전북특별자치도,전주시 덕진구,"1,045"
전북특별자치도,군산시,"1,300"
전북특별자치도,익산시,"1,697"
전북특별자치도,정읍시,450
전북특별자치도,남원시,403
전북특별자치도,김제시,873
전북특별자치도,완주군,770
전북특별자치도,진안군,144
전북특별자치도,무주군,42
전북특별자치도,장수군,102
전북특별자치도,임실군,118
전북특별자치도,순창군,141
전북특별자치도,고창군,194
전북특별자치도,부안군,210
,,1
