사업장명,lat,lon
하늘에너지㈜송산마도IC주유소충전소,37.2112627,126.7574485
마도농협주유소,37.2072941,126.7737646
마도농협쌍송점주유소,37.190997,126.7937503
케이아이에스정보통신㈜ 봉담주유소,37.216489,126.9670938
㈜서정산업 주유소,37.124688,126.897363
마도IC주유소,37.2101314,126.7624805
비봉주유소,37.251626,126.8722694
서신농협주유소,37.1669454,126.707468
KH에너지㈜직영 KH덕우주유소,37.1315036,126.8556437
동탄농협주유소,37.2211672,127.0763733
동양산업㈜신덕우리주유소,37.1313694,126.8546395
SK대로셀프주유소,37.2150039,126.8177942
주식회사 대원카고,37.2301858,126.933643
스타주유소,37.1635416,126.9777155
스마일주유소,37.0894837,126.861686
형제주유소,37.1639872,126.9797177
송산(평택방향)주유소,37.2373672,126.7572873
에이치제이에너지주유소,37.1836275,126.865997
(주)화성홈런주유소,37.1515162,126.9621353
㈜효창에너지직영3주유소,37.112929,126.883292
동현주유소,37.127228,126.901101
행정타운오일뱅크,37.1926642,126.838966
송산(시흥방향)주유소,37.2373672,126.7572873
슈퍼맨주유소,37.1306383,126.949574
매송주유소(목포방향),37.2650761,126.8880143
매송주유소(서울방향),37.2684643,126.89328
에스제이오일(주) 샤인주유소,37.1497806,127.1277414
정남농협주유소,37.1702931,126.9835892
경제주유소,37.1631693,126.8919788
혜성주유소,37.1748582,126.8868231
HD현대오일뱅크㈜직영 화성제일주유소,37.1716956,126.9805266
동탄그린주유소,37.1715174,127.0848346
HD현대오일뱅크㈜직영 능동셀프주유소,37.1986232,127.0590936
구도일주유소 상리,37.2071396,126.9432759
SK KH에너지 화성주유소,37.1884471,126.8839718
강남주유소,37.2229119,126.8518246
민들레셀프주유소,37.137098,126.8994033
(주)뉴타운에너지 주유소,37.2135124,127.0316262
남양대로주유소,37.215338,126.818403
코끼리주유소,37.2032392,126.7878407
그린주유소,37.0546142,126.7962275
효진주유소,37.1393044,126.9558155
기안셀프주유소,37.2300386,126.9849347
서봉주유소,37.1419439,126.9579067
㈜서석주유소,37.0576562,126.7968079
공룡주유소,37.1922193,126.838717
송산그린주유소,37.2000894,126.7233921
매송주유소,37.2702119,126.8854856
(주)구구에너지직영 88주유소,37.1372538,126.9128854
신성주유소,37.201918,126.7891277
발안고속주유소,37.10245,126.864214
엠케이주유소,37.2314163,127.0667802
정남제일주유소,37.1533203,126.9816898
에스제이오일㈜ 빅토리주유소,37.1308187,126.9331438
향남TG주유소,37.1275816,126.9855229
신남스타주유소,37.1773183,126.8158975
지에스칼텍스㈜동탄2산단주유소,37.1749545,127.0908349
흥아주유소,37.1116613,126.8999972
㈜삼표산업 화성에너지,37.2171987,126.8715225
지성주유소,37.2074544,126.7679806
가장공단주유소,37.1619421,127.0245709
호성주유소,37.1833797,126.8574369
39라인주유소,37.1337658,126.8963001
(주)장안셀프주유소,37.1261094,126.8400279
금산주유소,37.10301,126.85774
HD현대오일뱅크㈜직영 동탄예일주유소,37.1537087,127.1152426
815GS주유소,37.2236159,127.0250747
SK에너지(주) 서해로셀프주유소,37.1477816,126.8923978
덕우주유소,37.1353522,126.8634943
연구단지주유소,37.1737058,126.8132938
사랑리주유소,37.0783413,126.822169
현대오일뱅크㈜직영 효행로셀프주유소,37.2036067,127.0140431
(주)서진주유소 화성지점 공단주유소,37.1306657,127.0183537
진현에너지 해오름지점,37.1360016,126.8944592
매향주유소,37.0506691,126.7683124
㈜선도테크 회화로주유소,37.0944152,126.9829845
장수주유소,37.102231,126.855076
서신주유소,37.1685823,126.7057022
화성뉴시티주유소,37.2174404,126.8236014
해양산업단지주유소,37.1883755,126.6836836
수노을주유소,37.2086804,126.7305164
매화주유소,37.1643249,126.7077441
주석self주유소,37.2177618,126.8406602
안녕주유소,37.1928996,127.0049615
조형주유소,37.0800202,126.8055486
거홍㈜ 초록로주유소,37.0951257,126.9698951
대동에너지주유소,37.0972179,126.9397576
삼미상사(주) 정남TG셀프주유소,37.1871626,126.977622
주은에너지,37.1627417,127.0149558
㈜흥운 상기리주유소,37.1997745,126.9229258
백산주유소,37.2030262,126.9987333
기아현대주유소,37.0559968,126.7803575
승보스타주유소,37.077512,126.8565908
저녁노을주유소,37.2272126,127.0471373
(주)영광주유소,37.214159,127.0510774
상안주유소,37.1797602,126.7089258
SK에너지(주)솔빛나루주유소,37.1856522,127.0808075
자안주유소,37.2036669,126.8742482
정문주유소,37.0944152,126.9829845
청강신리주유소,37.1566441,126.981685
주식회사 팔탄,37.1618919,126.8971803
화성크린주유소,37.2031041,126.7254656
푸른하늘주유소,37.1403644,127.0236749
차사랑주유소,37.0352177,126.8034691
휴게주유소,37.1952784,126.6660088
정남IC주유소,37.1746866,126.9805827
삼우셀프주유소,37.1704947,126.9518774
원평주유소,37.2477779,126.9291043
금호주유소,37.1060486,126.9338509
HD현대오일뱅크㈜직영 태안현대주유소,37.2046524,126.9948611
쌍용주유소,37.1247008,126.983658
동탄반월주유소,37.2251502,127.0520529
SK에너지㈜ 동탄셀프주유소,37.2146993,127.0533021
동탄2주유소,37.2194307,127.1039908
기영주유소,37.1110211,126.9297661
HD현대오일뱅크㈜직영 봉담셀프주유소,37.1845141,126.9384776
거홍주유소 (주),37.0924369,126.9408544
지에스칼텍스(주) 동탄푸른숲주유소,37.2091369,127.053338
동탄뉴타운주유소,37.1587178,127.0976014
CJ대한통운㈜ 힘찬주유소,37.1662319,126.8491172
석포주유소,37.1304829,126.844264
(주)송림에너지주유소,37.071239,126.7968684
안녕그린주유소,37.2053063,127.0226394
SK기양주유소,37.0650517,126.7966996
(주)충만에너지,37.079641,126.9431913
그린주유소,37.1279629,126.8517027
고지리주유소,37.1627218,127.0125329
(주)태화유업 병점주유소,37.2110878,127.0318998
소방주유소,37.1282679,126.9016117
향남신도시주유소,37.1307823,126.9322234
SK에너지(주) 동탄맥주유소,37.2210347,127.0601571
㈜디이에이치오일포유(궁평항주유소),37.1210909,126.6908856
덕성주유소,37.1191281,126.8698072
SK서근주유소,37.1310738,126.8433349
만세주유소,37.2046835,126.8728874
(유)승하향남셀프주유소,37.1204501,126.9153462
광평주유소,37.1726852,126.6944595
정남주유소,37.1798923,126.9877355
대양석유(주)동탄드림주유소,37.2086905,127.1077614
역구내주유소,37.2359571,126.8631433
동탄명품주유소,37.1846972,127.1060541
동탄주유소,37.1974359,127.0654791
동오주유소,37.1314392,126.9564005
현대주유소,37.1972998,126.8801331
지에스칼텍스(주)동탄신도시주유소,37.2237889,127.0620235
HD현대오일뱅크㈜직영 동탄제일주유소,37.2226971,127.0610081
풍년주유소,37.0737349,126.7989687
HD현대오일뱅크㈜직영 동탄현대주유소,37.2249209,127.0634633
HD현대오일뱅크㈜직영 서해현대셀프주유소,37.2446281,126.9383641
연구소주유소,37.1720743,126.8467044
현대오일뱅크㈜ 직영 화성현대self주유소,37.1971242,126.9827945
SK향남주유소,37.0995952,126.9025123
육일주유소,37.20757,126.718921
영신주유소,37.077833,126.9128506
지에스칼텍스(주)캐피탈주유소,37.1309597,126.9563729
HD현대오일뱅크㈜직영 프리미엄셀프주유소,37.2237169,127.0741709
지에스칼텍스(주)발안IC주유소,37.121674,126.89213
노하공단주유소,37.1554132,126.8475587
구장주유소,37.1653512,126.895934
창곡주유소,37.1739278,126.8914037
HD현대오일뱅크㈜직영 봉담IC셀프주유소,37.2245618,126.953803
한얼에너지,37.2155086,126.819677
그린화성주유소,37.2020605,126.9645492
대경TLS(주)대경주유소,37.0273752,126.7961417
유림주유소,37.1287176,126.9512636
해뜨는주유소,37.1498594,127.1258571
사강주유소,37.2126434,126.744094
사거리주유소,37.1108169,126.8006795
(주)정도인더스트리 주유소,37.1852018,126.8458375
SK에너지(주)동화주유소,37.2303105,126.969132
금영주유소,37.1225503,126.6905872
HD현대오일뱅크㈜직영 비봉현대주유소,37.2251719,126.8547355
