시설,lat,lon
화성-태안-태안 106호,37.22121028,126.9786657
화성-태안-태안 108호,37.21142807,127.0135209
화성-태안-태안 109호,37.20952501,126.9813915
화성-태안-태안 111호,37.20727484,127.0365599
화성-태안-태안 112호,37.21717303,127.0393793
화성-태안-태안 113호,37.21594874,127.0441485
화성-태안-태안 115호,37.21524375,127.0436568
화성-태안-태안 116호,37.21486115,127.0441436
화성-향남-화성소방서 532호,37.12730275,126.9274436
화성-향남-화성소방서 533호,37.12578708,126.9271735
화성-장안-장안 488호,37.03644831,126.8372961
화성-장안-장안 489호,37.10554023,126.8451241
화성-장안-장안 490호,37.10440613,126.8454265
화성-장안-장안 492호,37.10687456,126.843537
화성-장안-장안 494호,37.1055545,126.8477125
화성-장안-장안 495호,37.10691989,126.8424499
화성-장안-장안 496호,37.10702282,126.8450836
화성-장안-장안 497호,37.10762938,126.8470288
화성-장안-장안 499호,37.10634783,126.8467537
화성-반송-반송 162호,37.20801154,127.0547221
화성-반송-반송 163호,37.20714707,127.0581466
화성-반송-반송 164호,37.20640626,127.0569178
화성-반송-반송 165호,37.21269511,127.0635315
화성-반송-반송 166호,37.20914229,127.0557113
화성-반송-반송 167호,37.20925164,127.056101
화성-반송-반송 168호,37.20781234,127.056887
화성-반송-반송 169호,37.21049773,127.0590915
화성-반송-반송 170호,37.21213839,127.0596442
화성-반송-반송 171호,37.21258508,127.0580425
화성-반송-반송 173호,37.21552746,127.0566503
화성-반송-반송 174호,37.21302914,127.0611055
화성-반송-반송 176호,37.21664259,127.0581551
화성-반송-반송 177호,37.21510846,127.0607595
화성-반송-반송 178호,37.21557301,127.0616205
화성-반송-반송 180호,37.21886624,127.0592271
화성-반송-반송 181호,37.22100903,127.0597813
화성-반송-반송 182호,37.22019597,127.0612894
화성-반송-반송 202호,37.22502878,127.0743202
화성-남양-남양 590호,37.20287632,126.8278767
화성-남양-남양 591호,37.20308498,126.829021
화성-남양-남양 592호,37.20446673,126.8306077
화성-남양-남양 594호,37.20641317,126.8301661
화성-남양-남양 596호,37.20649112,126.8279123
화성-남양-남양 597호,37.20563771,126.826838
화성-남양-남양 598호,37.20441814,126.8283854
화성-남양-남양 600호,37.20359412,126.8257067
화성-남양-남양 601호,37.20443638,126.8248202
화성-남양-남양 602호,37.20277863,126.8239198
화성-남양-남양 605호,37.2043966,126.8235732
화성-남양-남양 606호,37.20612154,126.8262121
화성-향남-향남 41호,37.08440831,126.9026423
화성-향남-향남 42호,37.08162775,126.901809
화성-향남-향남 44호,37.0835393,126.9019178
화성-향남-향남 48호,37.08178727,126.8941684
화성-향남-향남 50호,37.08370996,126.8966437
화성-향남-화성소방서 518호,37.13326839,126.9244269
화성-남양-남양 610호,37.20819024,126.8294347
화성-반송-반송 656호,37.20050018,127.0531927
화성-반송-반송 657호,37.2054796,127.0721142
화성-반송-반송 663호,37.21190235,127.0729574
화성-반송-반송 급수탑 27호,37.19558974,127.0760017
화성-반송-반송 664호,37.21652651,127.0777685
화성-반송-반송 급수탑 16호,37.21360228,127.0625366
화성-반송-반송 급수탑 22호,37.22378054,127.0743729
화성-반송-반송 급수탑 26호,37.20661716,127.0602974
화성-반송-반송 급수탑 29호,37.19745387,127.0681127
화성-봉담-봉담 105호,37.20360533,126.9826854
화성-봉담-봉담 325호,37.22154447,126.9502558
화성-봉담-봉담 327호,37.24980715,126.9282431
화성-봉담-봉담 328호,37.24469526,126.9426135
화성-봉담-봉담 329호,37.221507,126.948013
화성-봉담-봉담 331호,37.2363093,126.9573903
화성-봉담-봉담 332호,37.23713506,126.9550098
화성-남양-남양 405호,37.17634242,126.7838073
화성-남양-남양 408호,37.17643353,126.7854624
화성-남양-남양 411호,37.175427,126.7881526
화성-남양-남양 413호,37.1756338,126.788997
화성-향남-화성소방서 519호,37.13229427,126.9269669
화성-향남-향남 51호,37.0835738,126.8980471
화성-향남-화성소방서 522호,37.13112867,126.923561
화성-향남-향남 52호,37.08518196,126.896988
화성-향남-향남 53호,37.08579741,126.8974782
화성-향남-화성소방서 524호,37.13099759,126.9254651
화성-향남-화성소방서 529호,37.13045598,126.9223122
화성-향남-향남 57호,37.08751087,126.9011889
화성-향남-향남 58호,37.08662343,126.9039638
화성-향남-향남 60호,37.08833753,126.9078435
화성-향남-향남 61호,37.0893496,126.908342
화성-봉담-봉담 333호,37.26507154,126.8806244
화성-봉담-봉담 334호,37.19467203,126.9378888
화성-봉담-봉담 335호,37.23741968,126.954194
화성-봉담-봉담 336호,37.2526675,126.9104614
화성-봉담-봉담 337호,37.18310024,126.9426484
화성-향남-화성소방서 534호,37.12655458,126.923723
화성-향남-화성소방서 535호,37.12546059,126.9211983
화성-향남-화성소방서 536호,37.12409528,126.9203419
화성-향남-화성소방서 538호,37.12571499,126.9253166
화성-향남-화성소방서 539호,37.1241539,126.9268369
화성-향남-화성소방서 541호,37.12377105,126.9222469
화성-향남-화성소방서 542호,37.12349212,126.9205041
화성-향남-화성소방서 543호,37.12239523,126.9182551
화성-향남-화성소방서 545호,37.12323747,126.9152116
화성-향남-화성소방서 546호,37.12507533,126.9143343
화성-향남-화성소방서 548호,37.12596246,126.915093
화성-남양-남양 415호,37.17816025,126.7744477
화성-남양-남양 416호,37.19552441,126.7898459
화성-남양-남양 440호,37.20660793,126.7729057
화성-남양-남양 487호,37.22035942,126.7901203
화성-남양-남양 564호,37.18823816,126.7608606
화성-남양-남양 366호,37.16939068,126.7022155
화성-남양-남양 368호,37.1746839,126.6892475
화성-남양-남양 370호,37.11874362,126.6886753
화성-남양-남양 371호,37.16246029,126.6947718
화성-남양-남양 372호,37.14028285,126.7024672
화성-남양-남양 442호,37.1603215,126.6734353
화성-장안-장안 501호,37.10925815,126.8442367
화성-장안-장안 503호,37.1102944,126.8450214
화성-장안-장안 504호,37.11153001,126.8435812
화성-장안-장안 505호,37.1115312,126.8470171
화성-장안-장안 506호,37.11241028,126.8432021
화성-장안-장안 507호,37.11346916,126.8451982
화성-향남-화성소방서 549호,37.12631705,126.9193794
화성-향남-화성소방서 550호,37.12697645,126.9178208
화성-향남-화성소방서 551호,37.12615693,126.9143147
화성-향남-화성소방서 552호,37.12768342,126.9131209
화성-향남-화성소방서 553호,37.12813585,126.9145121
화성-장안-장안 510호,37.10778842,126.8406921
화성-장안-장안 512호,37.10426517,126.8481789
화성-장안-장안 513호,37.10903353,126.8476376
화성-장안-장안 514호,37.11030009,126.8482705
화성-장안-장안 515호,37.11275968,126.8471934
화성-장안-장안 563호,37.0859133,126.824938
화성-장안-장안 565호,37.05211336,126.8102543
화성-장안-장안 568호,37.08727737,126.8263217
화성-장안-장안 570호,37.08799307,126.8245786
화성-장안-장안 571호,37.09040198,126.8236431
화성-반송-반송 252호,37.20721401,127.0657033
화성-반송-반송 254호,37.20500652,127.0659639
화성-반송-반송 255호,37.21156018,127.0644339
화성-반송-반송 256호,37.21018689,127.0640009
화성-남양-남양 613호,37.20903632,126.8319171
화성-남양-남양 614호,37.20831429,126.8310885
