단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명
화성동탄일반산업단지,(주)슈페리어,경기도 화성시 방교동 802-4번지,기타
화성동탄일반산업단지,(주)스카이물류,경기도 화성시 방교동 831-1,기타
화성동탄일반산업단지,(주)스카이즈,경기도 화성시 방교동 849-6,기타
화성동탄일반산업단지,(주)스트라드비젼,경기도 화성시 방교동 797-10번지,전기전자
화성동탄일반산업단지,(주)시노펙스,경기도 화성시 방교동 875-4,기타
화성동탄일반산업단지,(주)시스윈로보틱스,경기도 화성시 방교동 842-1번지,전기전자
화성동탄일반산업단지,(주)시스템알앤디,경기도 화성시 방교동 824-10번지,전기전자
화성동탄일반산업단지,(주)신전,경기도 화성시 방교동 839-7번지,전기전자
화성동탄일반산업단지,(주)신진에스엠 동탄지점,경기도 화성시 방교동 797-8번지,기타
화성동탄일반산업단지,(주)싸이맥스,경기도 화성시 방교동 848-1번지,기타
화성동탄일반산업단지,(주)쏠라딘,경기도 화성시 방교동 875-6,전기전자
화성동탄일반산업단지,(주)씨브이,경기도 화성시 방교동 875-2번지,기타
화성동탄일반산업단지,(주)씨쓰리테크놀로지 ,경기도 화성시 방교동 846-10번지,기타
화성동탄일반산업단지,(주)씨앤씨인터내셔널,경기도 화성시 방교동 798-8 ,기타
화성동탄일반산업단지,(주)씨엔원,경기도 화성시 방교동 875-7번지,전기전자
화성동탄일반산업단지,(주)씨엠테크,경기도 화성시 방교동 846-7번지,전기전자
화성동탄일반산업단지,(주)씨케이피,경기도 화성시 방교동 875-9번지,전기전자
화성동탄일반산업단지,(주)아론테크,경기도 화성시 방교동 798-13,전기전자
화성동탄일반산업단지,(주)아모스,경기도 화성시 방교동 798-5번지,기타
화성동탄일반산업단지,(주)아모스에듀,경기도 화성시 방교동 798-5,기타
화성동탄일반산업단지,(주)아이넥스엠에이티,경기도 화성시 방교동 832-3번지,전기전자
화성동탄일반산업단지,(주)아이지에스,경기도 화성시 방교동 837-8 4층,전기전자
화성동탄일반산업단지,(주)아큐스 ,경기도 화성시 방교동 849-6번지,기타
화성동탄일반산업단지,(주)알엔투테크놀로지,경기도 화성시 방교동 825-6번지,전기전자
화성동탄일반산업단지,(주)알토엔대우 ,경기도 화성시 방교동 825-3번지,전기전자
화성동탄일반산업단지,(주)애거슨,경기도 화성시 방교동 826-10,전기전자
화성동탄일반산업단지,(주)앤에스알시,경기도 화성시 방교동 837-6,전기전자
화성동탄일반산업단지,(주)에바(EVAR),경기도 화성시 방교동 798-1번지,전기전자
화성동탄일반산업단지,(주)에버텍엔터프라이즈,경기도 화성시 방교동 843-5번지,전기전자
화성동탄일반산업단지,(주)에스디레이,경기도 화성시 방교동 827-4번지,기타
화성동탄일반산업단지,(주)에스디옵틱스,경기도 화성시 방교동 849-9번지,기타
화성동탄일반산업단지,(주)에스알티,경기도 화성시 방교동 840-2번지,기타
화성동탄일반산업단지,(주)에스엠티코리아,경기도 화성시 방교동 843-6번지,전기전자
화성동탄일반산업단지,(주)에스유아이씨티 ,경기도 화성시 방교동 837-8번지 ,전기전자
화성동탄일반산업단지,(주)에스제이오토메이션,경기도 화성시 방교동 849-9,기타
화성동탄일반산업단지,(주)에스지엔지,경기도 화성시 방교동 843-2번지,기타
화성동탄일반산업단지,(주)에스프라임,경기도 화성시 방교동 846-2 ,기타
화성동탄일반산업단지,(주)에이디에스테크 ,경기도 화성시 방교동 826-6번지,기타
화성동탄일반산업단지,(주)에이씨에스,경기도 화성시 방교동 875-8번지,전기전자
화성동탄일반산업단지,(주)에이엠텍,경기도 화성시 방교동 797-9번지,기타
화성동탄일반산업단지,(주)에이치씨테크,경기도 화성시 방교동 837-10번지,전기전자
화성동탄일반산업단지,(주)에이치엔씨,경기도 화성시 방교동 826-8,전기전자
화성동탄일반산업단지,(주)에이치와이씨코리아,경기도 화성시 방교동 875-10,전기전자
화성동탄일반산업단지,(주)에이텍솔루션,경기도 화성시 방교동 875-5번지,전기전자
화성동탄일반산업단지,(주)에이피에스,경기도 화성시 방교동 824-8,전기전자
화성동탄일반산업단지,(주)에이피피,경기도 화성시 방교동 846-3번지,전기전자
화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 832-8번지,전기전자
화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 783-3번지,전기전자
화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 832-2,전기전자
화성동탄일반산업단지,(주)에프엠에스코리아,경기도 화성시 방교동 874-12번지,기타
화성동탄일반산업단지,(주)엔에스티,경기도 화성시 방교동 785-2번지,전기전자
화성동탄일반산업단지,(주)엘케이엔지니어링,경기도 화성시 방교동 836-2번지,전기전자
화성동탄일반산업단지,(주)엠씨웍스 ,경기도 화성시 방교동 849-8번지,기타
화성동탄일반산업단지,(주)엠아이티시스템  ,경기도 화성시 동탄면 방교리 835-9번지,전기전자
화성동탄일반산업단지,(주)엠에스티코퍼레이션 ,경기도 화성시 방교동 827-6,위험물등
화성동탄일반산업단지,(주)엠에이케이,경기도 화성시 방교동 797-8번지,기타
화성동탄일반산업단지,(주)엠투엔 전장사업부,경기도 화성시 방교동 843-3번지,전기전자
화성동탄일반산업단지,(주)영공 오산지점,경기도 화성시 방교동 800-2번지,기타
화성동탄일반산업단지,(주)예승이엔지,경기도 화성시 방교동 875-10,전기전자
화성동탄일반산업단지,(주)오메가텍 ,경기도 화성시 방교동 798-4번지,기타
화성동탄일반산업단지,(주)오엠티,경기도 화성시 방교동 785-6번지,전기전자
화성동탄일반산업단지,(주)와이케이신터링,경기도 화성시 방교동 796-4,기타
화성동탄일반산업단지,(주)우양코퍼레이션,경기도 화성시 방교동 798-8,전기전자
화성동탄일반산업단지,(주)원하우징,경기도 화성시 방교동 843-1,기타
화성동탄일반산업단지,(주)위드텍,경기도 화성시 방교동 785-10번지,전기전자
화성동탄일반산업단지,(주)유니온,경기도 화성시 방교동 803-5,기타
화성동탄일반산업단지,(주)유닉스엔지니어링,경기도 화성시 방교동 796-3,기타
화성동탄일반산업단지,(주)유에스티,경기도 화성시 방교동 849-5,기타
