단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명,위도,경도
화성동탄일반산업단지,(주)씨엠테크,경기도 화성시 방교동 846-7번지,전기전자,37.161963740626,127.086387430832
화성동탄일반산업단지,(주)씨케이피,경기도 화성시 방교동 875-9번지,전기전자,37.1808053923625,127.08683973598
화성동탄일반산업단지,(주)아론테크,경기도 화성시 방교동 798-13,전기전자,37.1715178659899,127.08483442953
화성동탄일반산업단지,(주)아이넥스엠에이티,경기도 화성시 방교동 832-3번지,전기전자,37.1707406707564,127.086994635835
화성동탄일반산업단지,(주)아이지에스,경기도 화성시 방교동 837-8 4층,전기전자,37.1703946979581,127.091614187511
화성동탄일반산업단지,(주)알엔투테크놀로지,경기도 화성시 방교동 825-6번지,전기전자,37.1755784831859,127.088997893919
화성동탄일반산업단지,(주)알토엔대우 ,경기도 화성시 방교동 825-3번지,전기전자,37.1759406437162,127.089798938574
화성동탄일반산업단지,(주)애거슨,경기도 화성시 방교동 826-10,전기전자,37.1749720179912,127.088951015206
화성동탄일반산업단지,(주)앤에스알시,경기도 화성시 방교동 837-6,전기전자,37.1695128804678,127.091203839359
화성동탄일반산업단지,(주)에바(EVAR),경기도 화성시 방교동 798-1번지,전기전자,37.1715441343907,127.084262459833
화성동탄일반산업단지,(주)에버텍엔터프라이즈,경기도 화성시 방교동 843-5번지,전기전자,37.1623624119162,127.085081790355
화성동탄일반산업단지,(주)에스엠티코리아,경기도 화성시 방교동 843-6번지,전기전자,37.1618231610489,127.084911522148
화성동탄일반산업단지,(주)에스유아이씨티 ,경기도 화성시 방교동 837-8번지 ,전기전자,37.1703946979581,127.091614187511
화성동탄일반산업단지,(주)에이씨에스,경기도 화성시 방교동 875-8번지,전기전자,37.1804006521753,127.086821254843
화성동탄일반산업단지,(주)에이치씨테크,경기도 화성시 방교동 837-10번지,전기전자,37.171250667327,127.09200683602
화성동탄일반산업단지,(주)에이치엔씨,경기도 화성시 방교동 826-8,전기전자,37.1743176115148,127.088790690511
화성동탄일반산업단지,(주)에이치와이씨코리아,경기도 화성시 방교동 875-10,전기전자,37.1812014876031,127.086851112829
화성동탄일반산업단지,(주)에이텍솔루션,경기도 화성시 방교동 875-5번지,전기전자,37.1795717267004,127.086266376835
화성동탄일반산업단지,(주)에이피에스,경기도 화성시 방교동 824-8,전기전자,37.1765698034305,127.090806715941
화성동탄일반산업단지,(주)에이피피,경기도 화성시 방교동 846-3번지,전기전자,37.1623802540361,127.085954228773
화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 832-8번지,전기전자,37.1707686123344,127.087837682262
화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 783-3번지,전기전자,37.1800292264368,127.093010258762
화성동탄일반산업단지,(주)에프에스티,경기도 화성시 방교동 832-2,전기전자,37.1713135495754,127.087134463569
화성동탄일반산업단지,(주)엔에스티,경기도 화성시 방교동 785-2번지,전기전자,37.1814093908676,127.095030086284
화성동탄일반산업단지,(주)엘케이엔지니어링,경기도 화성시 방교동 836-2번지,전기전자,37.1719870390346,127.091153441039
화성동탄일반산업단지,(주)엠아이티시스템  ,경기도 화성시 동탄면 방교리 835-9번지,전기전자,37.1710557182979,127.08960354358
화성동탄일반산업단지,(주)엠에스티코퍼레이션 ,경기도 화성시 방교동 827-6,위험물등,37.1739432705456,127.089565515842
화성동탄일반산업단지,(주)엠투엔 전장사업부,경기도 화성시 방교동 843-3번지,전기전자,37.1633840686721,127.085404819228
화성동탄일반산업단지,(주)예승이엔지,경기도 화성시 방교동 875-10,전기전자,37.1812014876031,127.086851112829
화성동탄일반산업단지,(주)오엠티,경기도 화성시 방교동 785-6번지,전기전자,37.1802412246138,127.094515791799
화성동탄일반산업단지,(주)우양코퍼레이션,경기도 화성시 방교동 798-8,전기전자,37.168906257988,127.084057086357
화성동탄일반산업단지,(주)위드텍,경기도 화성시 방교동 785-10번지,전기전자,37.1790994600886,127.092277833108
화성동탄일반산업단지,(주)은성산업,경기도 화성시 방교동 843-4,전기전자,37.1628746379966,127.085242010539
화성동탄일반산업단지,(주)이레에프에이,경기도 화성시 방교동 837-7번지,전기전자,37.1699716207069,127.091421475566
화성동탄일반산업단지,(주)이엔씨테크놀로지,경기도 화성시 방교동 831-3,전기전자,37.1734155570649,127.092568637557
화성동탄일반산업단지,(주)이엠텍 동탄 사업장,경기도 화성시 방교동 824-4번지,전기전자,37.1772753563545,127.088267152297
화성동탄일반산업단지,(주)이젠,경기도 화성시 방교동 840-5,전기전자,37.1662721964403,127.087667420829
화성동탄일반산업단지,(주)이즈컨텍,경기도 화성시 방교동 838-5,전기전자,37.1706969323011,127.092516116375
화성동탄일반산업단지,(주)인터텍,경기도 화성시 방교동 846-8번지,전기전자,37.162293920179,127.086466953493
화성동탄일반산업단지,(주)저스템,경기도 화성시 방교동 785-9번지,전기전자,37.1791800608364,127.092910233862
화성동탄일반산업단지,(주)제이오션,경기도 화성시 방교동 874-1번지,전기전자,37.181809524356,127.086227142038
화성동탄일반산업단지,(주)조인솔루션,경기도 화성시 방교동 837-2번지,전기전자,37.1709385981886,127.09135125376
화성동탄일반산업단지,(주)진솔루션,경기도 화성시 방교동 874-4번지,전기전자,37.1817654806499,127.087187796967
화성동탄일반산업단지,(주)찬구화학,경기도 화성시 방교동 839-7,전기전자,37.1652629948131,127.085969990517
화성동탄일반산업단지,(주)케이랩,경기도 화성시 방교동 800-4번지,전기전자,37.1665732857761,127.083613484139
화성동탄일반산업단지,(주)케이에스티이   ,경기도 화성시 방교동 797-2번지,전기전자,37.1721379470079,127.084996026889
화성동탄일반산업단지,(주)케이엘테크코퍼레이션,경기도 화성시 방교동 836-4번지,전기전자,37.1709290564277,127.090634898106
화성동탄일반산업단지,(주)케이피텍,경기도 화성시 방교동 798-12번지,전기전자,37.1711103121782,127.084717097615
화성동탄일반산업단지,(주)코리아인스트루먼트,경기도 화성시 방교동 839-2번지,전기전자,37.1675256231341,127.087346404348
화성동탄일반산업단지,(주)코리아인스트루먼트,경기도 화성시 방교동 800-5번지,전기전자,37.1663765724013,127.08337570132
화성동탄일반산업단지,(주)코메코아이엔티,경기도 화성시 방교동 846-2,전기전자,37.1627125811083,127.086054805845
화성동탄일반산업단지,(주)코스메디크 ,경기도 화성시 방교동 824-2번지,전기전자,37.1761042951747,127.088213090777
화성동탄일반산업단지,(주)크레픽,경기도 화성시 방교동 824-5번지,전기전자,37.1771400245701,127.0891009589
화성동탄일반산업단지,(주)태형,경기도 화성시 방교동 797-6,전기전자,37.1708640201682,127.085641020739
화성동탄일반산업단지,(주)테라메카,경기도 화성시 방교동 837-4번지,전기전자,37.1700891929715,127.09097337222
화성동탄일반산업단지,(주)테크윙,경기도 화성시 방교동 836-7번지,전기전자,37.1689513437515,127.090260299118
화성동탄일반산업단지,(주)테크윙,경기도 화성시 방교동 831-3번지,전기전자,37.1734155570649,127.092568637557
화성동탄일반산업단지,(주)투윈테크,경기도 화성시 방교동 849-2번지,전기전자,37.1639076570862,127.089456848273
화성동탄일반산업단지,(주)트리즈엔지니어링,경기도 화성시 방교동 797-9,전기전자,37.1697479167735,127.08534284669
화성동탄일반산업단지,(주)티아이에스 ,경기도 화성시 방교동 832-9,전기전자,37.1715410398469,127.088023575238
화성동탄일반산업단지,(주)티에스시,경기도 화성시 방교동 797-4,전기전자,37.1716085172063,127.085828548979
화성동탄일반산업단지,(주)티에스피글로벌,경기도 화성시 방교동 784-1번지,전기전자,37.1813188471216,127.094111615966
화성동탄일반산업단지,(주)팀즈,경기도 화성시 방교동 840-1번지,전기전자,37.1668330191386,127.087294490845
화성동탄일반산업단지,(주)파라이엔티,경기도 화성시 방교동 842-5번지,전기전자,37.1659242053485,127.089718069094
화성동탄일반산업단지,(주)프로스코,경기도 화성시 방교동 835-1번지,위험물등,37.1710968871911,127.088898168393
화성동탄일반산업단지,(주)플렉스파워,경기도 화성시 방교동 832-1,전기전자,37.1720082125046,127.087326454191
화성동탄일반산업단지,(주)하나티이씨,경기도 화성시 동탄면 0번지 동탄일반산업단지 21-1(B/L),전기전자,37.1608998560002,127.09213771965
화성동탄일반산업단지,(주)하이텍,경기도 화성시 방교동 840-1,전기전자,37.1668330191386,127.087294490845
화성동탄일반산업단지,(주)하이트로닉스 ,경기도 화성시 방교동 846-1번지,전기전자,37.1632322841932,127.086215604759
화성동탄일반산업단지,(주)한성엔지니어링,경기도 화성시 방교동 826-9번지,전기전자,37.1746496763046,127.088876432046
화성동탄일반산업단지,(주)한텍시스템,경기도 화성시 방교동 837-9번지,전기전자,37.1708185858997,127.091806789993
화성동탄일반산업단지,(주)해든,경기도 화성시 방교동 826-3번지,전기전자,37.1740347262271,127.087882675301
화성동탄일반산업단지,AP시스템(주)제2사업장,경기도 화성시 방교동 824-8번지,전기전자,37.1765698034305,127.090806715941
화성동탄일반산업단지,금영산업,경기도 화성시 방교동 837-3번지,전기전자,37.1705135352819,127.091162367796
화성동탄일반산업단지,나노세미콘(주),경기도 화성시 방교동 837-3번지,전기전자,37.1705135352819,127.091162367796
화성동탄일반산업단지,대형정밀(주),경기도 화성시 방교동 847-3번지,전기전자,37.1637917991734,127.088472591069
화성동탄일반산업단지,덕일산업(주) 중앙연구소 ,경기도 화성시 방교동 874-6번지,전기전자,37.1821190452909,127.087688547053
화성동탄일반산업단지,두타아이티 주식회사 ,경기도 화성시 방교동 825-3번지,전기전자,37.1759406437162,127.089798938574
화성동탄일반산업단지,디에스아이테크,경기도 화성시 방교동 797-7번지,전기전자,37.1704912323308,127.085545230655
화성동탄일반산업단지,레이저쎌(주),경기도 화성시 방교동 839-6,전기전자,37.1657351487717,127.086093923525
화성동탄일반산업단지,삼성기전(주),경기도 화성시 동탄면 826-1번지,전기전자,37.1748672234451,127.088109183667
화성동탄일반산업단지,새한프라스틱,경기도 화성시 방교동 835-8,위험물등,37.1704695629377,127.089389255656
화성동탄일반산업단지,서원조명공업(주),경기도 화성시 방교동 826-2번지,전기전자,37.1744087764173,127.087974429148
화성동탄일반산업단지,성복산업,경기도 화성시 방교동 838-1,전기전자,37.172026101259,127.093064292138
화성동탄일반산업단지,성신이엔지,경기도 화성시 방교동 837-8,전기전자,37.1703946979581,127.091614187511
화성동탄일반산업단지,성준전기(주),경기도 화성시 방교동 874-11번지,전기전자,37.1798246268324,127.087530379761
화성동탄일반산업단지,솔바이더,경기도 화성시 방교동 837-8,전기전자,37.1703946979581,127.091614187511
화성동탄일반산업단지,수성지엔(주) ,경기도 화성시 동탄산단9길 9-7,전기전자,37.1761673357791,127.088136705209
화성동탄일반산업단지,아레이몬드 유한회사 ,경기도 화성시 방교동 835-9번지,위험물등,37.1710557182979,127.08960354358
화성동탄일반산업단지,아이텍(주),경기도 화성시 방교동 839-4,전기전자,37.1667626372641,127.086323198678
화성동탄일반산업단지,알프스,경기도 화성시 방교동 875-10,전기전자,37.1812014876031,127.086851112829
화성동탄일반산업단지,어플라이드 머티어리얼즈 코리아(주),경기도 화성시 방교동 801,전기전자,37.1657569794726,127.084304335727
화성동탄일반산업단지,에스에스아이,경기도 화성시 방교동 836-5번지,전기전자,37.170449759757,127.09043165177
화성동탄일반산업단지,에이티시스템(주),경기도 화성시 방교동 875-9번지,전기전자,37.1808053923625,127.08683973598
화성동탄일반산업단지,에이피시스템(주),경기도 화성시 방교동 826-5,전기전자,37.1730920318238,127.088017492344
화성동탄일반산업단지,에이피에스리서치(주),경기도 화성시 방교동 824-8,전기전자,37.1765698034305,127.090806715941
화성동탄일반산업단지,엘토로,경기도 화성시 방교동 835-3,전기전자,37.1703813471764,127.088672812738
화성동탄일반산업단지,엠에스피씨코리아유한회사,경기도 화성시 방교동 785-1번지,전기전자,37.18169979436,127.095037995176
화성동탄일반산업단지,엠플러스,경기도 화성시 방교동 842-5,전기전자,37.1659242053485,127.089718069094
화성동탄일반산업단지,워트(주),경기도 화성시 방교동 783-1번지,전기전자,37.1813524052607,127.093264696804
화성동탄일반산업단지,유비파워,경기도 화성시 방교동 846-4번지,전기전자,37.162053962552,127.085855573342
화성동탄일반산업단지,제이씨엘테크(주),경기도 화성시 방교동 797-9,전기전자,37.1697479167735,127.08534284669
화성동탄일반산업단지,주식회사 쓰리디엠,경기도 화성시 방교동 837-5,전기전자,37.1695983739971,127.090756150402
화성동탄일반산업단지,주식회사 알프스,경기도 화성시 방교동 875-10,전기전자,37.1812014876031,127.086851112829
화성동탄일반산업단지,주식회사 이솔 ,경기도 화성시 방교동 783-3번지,전기전자,37.1800292264368,127.093010258762
화성동탄일반산업단지,주식회사 일산,경기도 화성시 방교동 837-5번지,전기전자,37.1695983739971,127.090756150402
화성동탄일반산업단지,주식회사 피케이아이,경기도 화성시 방교동 784-1번지,전기전자,37.1813188471216,127.094111615966
화성동탄일반산업단지,지이티시스템(주),경기도 화성시 방교동 826-7번지,전기전자,37.1739877985217,127.088705965778
화성동탄일반산업단지,진성정밀,경기도 화성시 방교동 832-12,전기전자,37.1703795916237,127.086907184809
화성동탄일반산업단지,칸트론(주),경기도 화성시 방교동 839-6,전기전자,37.1657351487717,127.086093923525
화성동탄일반산업단지,컴테크써지(주),경기도 화성시 방교동 839-3번지,전기전자,37.1674946301875,127.086481772939
화성동탄일반산업단지,코닉오토메이션(주),경기도 화성시 방교동 874-10,전기전자,37.1802655755797,127.087567487168
화성동탄일반산업단지,타임프로토,경기도 화성시 방교동 798-11,위험물등,37.1707412255694,127.084610619164
화성동탄일반산업단지,투스템(주),경기도 화성시 방교동 838-4번지,전기전자,37.1709870587281,127.092648884627
화성동탄일반산업단지,팸텍(주),경기도 화성시 방교동 824-5번지,전기전자,37.1771400245701,127.0891009589
화성동탄일반산업단지,팸텍(주),경기도 화성시 방교동 832-9,전기전자,37.1715410398469,127.088023575238
화성동탄일반산업단지,하나산업(주),경기도 화성시 방교동 842-4번지,전기전자,37.2153779778136,127.08969694407959
화성동탄일반산업단지,한솔아이원스(주),경기도 화성시 방교동 797-3번지,전기전자,37.1720819617481,127.085911844757
화성동탄일반산업단지,한일프라콘(주) 동탄공장,경기도 화성시 방교동 835-2,위험물등,37.170698989659,127.088766189001
화성마도일반산업단지,(주)가야 ,경기도 화성시 마도면 쌍송리 667번지,전기전자,37.1841232950184,126.788865206152
화성마도일반산업단지,(주)아이엠첨단소재,경기도 화성시 마도면 쌍송리 674-3,전기전자,37.1818170714831,126.791318600027
화성마도일반산업단지,(주)아템,경기도 화성시 마도면 쌍송리 683-6 번지,전기전자,37.1775914222797,126.787829383193
화성마도일반산업단지,(주)오션코리아,경기도 화성시 마도면 쌍송리 675-10,전기전자,37.180123013641,126.791376750291
화성마도일반산업단지,(주)지엠이노텍,경기도 화성시 마도면 쌍송리 666-2번지,전기전자,37.1829554444385,126.792334408889
화성마도일반산업단지,(주)진웅테크놀러지,경기도 화성시 마도면 쌍송리 678-1번지,전기전자,37.181511555672,126.786831254968
화성마도일반산업단지,(주)포엔,경기도 화성시 마도면 쌍송리 667-4번지,전기전자,37.1837673084473,126.790245858237
화성마도일반산업단지,(주)퓨처코어 화성지점,경기도 화성시 마도면 쌍송리 667-1번지,전기전자,37.1849127103784,126.789474636589
화성마도일반산업단지,세원펀칭,경기도 화성시 마도면 쌍송리 591-51번지,전기전자,37.1773821069422,126.784731707135
화성마도일반산업단지,위버텍(주),경기도 화성시 마도면 쌍송리 674-3번지,전기전자,37.1818170714831,126.791318600027
화성마도일반산업단지,한국터치스크린(주),경기도 화성시 마도면 쌍송리 667-2,전기전자,37.1846582656675,126.78998944186
화성발안일반산업단지,(사)한국교통장애인협회사업부,경기도 화성시 향남읍 구문천리 926-6번지,전기전자,37.0838446613824,126.912092098649
화성발안일반산업단지,(주)글로이스,경기도 화성시 향남읍 구문천리 935-9번지,전기전자,37.0822329024287,126.91074358034
화성발안일반산업단지,(주)금강테크,경기도 화성시 향남읍 구문천리 935-5,전기전자,37.0834330109762,126.908113801245
화성발안일반산업단지,(주)뉴파워프라즈마,경기도 화성시 향남읍 구문천리 935-11,전기전자,37.0816080390609,126.91054210068
화성발안일반산업단지,(주)대성일렉트로닉스,경기도 화성시 향남읍 하길리 1406-28,전기전자,37.0888512091978,126.91778512765
화성발안일반산업단지,(주)대일씨에프티,경기도 화성시 향남읍 구문천리 926-5번지,전기전자,37.0844198161109,126.911248140112
화성발안일반산업단지,(주)대진조명,경기도 화성시 향남읍 하길리 1412-1번지,전기전자,37.0864070843466,126.913018947039
화성발안일반산업단지,(주)대흥,경기도 화성시 향남읍 구문천리 936-9번지,전기전자,37.0801587793361,126.910212037811
화성발안일반산업단지,(주)도어텍,경기도 화성시 향남읍 구문천리 936-6번지,전기전자,37.0802000174911,126.907244652775
화성발안일반산업단지,(주)두민,경기도 화성시 향남읍 하길리 1411-6번지,전기전자,37.0844532566226,126.913210915205
화성발안일반산업단지,(주)두산퓨얼셀파워,경기도 화성시 향남읍 하길리 1405-9번지,전기전자,37.0909277792169,126.919047934305
화성발안일반산업단지,(주)디제이엠텍,경기도 화성시 향남읍 구문천리 932-22번지,전기전자,37.0825360370787,126.894315250484
화성발안일반산업단지,(주)비엔엠,경기도 화성시 향남읍 구문천리 936-8번지,전기전자,37.0804499793728,126.909466961928
화성발안일반산업단지,(주)성화인더스트리,경기도 화성시 향남읍 구문천리 930-1,위험물등,37.0856430970923,126.89707390042
화성발안일반산업단지,(주)세계테크원 ,경기도 화성시 향남읍 구문천리 929-19번지,전기전자,37.0855232791831,126.900695736612
화성발안일반산업단지,(주)싸이노스,경기도 화성시 향남읍 구문천리 930-17,전기전자,37.0851278528949,126.896851568519
화성발안일반산업단지,(주)싸이노스,경기도 화성시 향남읍 구문천리 930-4번지,전기전자,37.0852590619842,126.899066496627
화성발안일반산업단지,(주)씨케이솔루션 ,경기도 화성시 향남읍 구문천리 928-13번지,전기전자,37.0846643587448,126.909686439524
화성발안일반산업단지,(주)에스디메카텍,경기도 화성시 향남읍 구문천리 926-7,전기전자,37.0834756007263,126.911509603962
화성발안일반산업단지,(주)에스아이디어코스틱,경기도 화성시 향남읍 구문천리 935-15,전기전자,37.0824452309323,126.907267784645
화성발안일반산업단지,(주)에이앤아이,경기도 화성시 향남읍 구문천리 934번지,전기전자,37.0831404353179,126.903243755931
화성발안일반산업단지,(주)에이치제이,경기도 화성시 향남읍 구문천리 928-1번지,전기전자,37.0846059465108,126.90709037503
화성발안일반산업단지,(주)에이치제이 ,경기도 화성시 향남읍 구문천리 928-5번지,전기전자,37.085444083373,126.907042339312
화성발안일반산업단지,(주)와이아이테크닉스,경기도 화성시 향남읍 구문천리 932-19번지,전기전자,37.081575183229,126.894773079826
화성발안일반산업단지,(주)우진이엔지,경기도 화성시 향남읍 구문천리 935-26,전기전자,37.0836073951574,126.906305891995
화성발안일반산업단지,(주)원세미콘 발안공장,경기도 화성시 향남읍 구문천리 928-10,전기전자,37.0853029587757,126.909348270261
화성발안일반산업단지,(주)위드엘씨,경기도 화성시 향남읍 구문천리 932-11번지,전기전자,37.0817332755215,126.899287441781
화성발안일반산업단지,(주)유진솔루션,경기도 화성시 향남읍 하길리 930-6번지,전기전자,37.1214060000707,126.981831879545
화성발안일반산업단지,(주)유텍이엔지,경기도 화성시 향남읍 구문천리 928-13,전기전자,37.0846643587448,126.909686439524
화성발안일반산업단지,(주)유한팩,경기도 화성시 향남읍 구문천리 935-4,전기전자,37.083158534642,126.907405025729
화성발안일반산업단지,(주)인터팩,경기도 화성시 향남읍 구문천리 936-1,전기전자,37.0816895839537,126.906566134908
화성발안일반산업단지,(주)정화프레스,경기도 화성시 향남읍 구문천리 930-14번지,전기전자,37.0852819042548,126.898065816268
화성발안일반산업단지,(주)제이피코리아,경기도 화성시 향남읍 구문천리 928-4,전기전자,37.0855589113623,126.906395378826
화성발안일반산업단지,(주)제일테크닉스,경기도 화성시 향남읍 하길리 1406-5번지,전기전자,37.0890710827914,126.917803673664
화성발안일반산업단지,(주)진테크널러지,경기도 화성시 향남읍 하길리 1405-9번지,전기전자,37.0909277792169,126.919047934305
화성발안일반산업단지,(주)진테크널러지,경기도 화성시 향남읍 하길리 1403-5,전기전자,37.0915321610798,126.911649610477
화성발안일반산업단지,(주)창영전자,경기도 화성시 향남읍 구문천리 921번지,전기전자,37.0865652127831,126.898809564861
화성발안일반산업단지,(주)케이에이엠인터내셔날,경기도 화성시 향남읍 구문천리 935-17번지,전기전자,37.0838207853739,126.90946014175
화성발안일반산업단지,(주)코캣,경기도 화성시 향남읍 구문천리 923-3번지,전기전자,37.0882136950539,126.908194411068
화성발안일반산업단지,(주)태흥기전,경기도 화성시 향남읍 구문천리 926-6,전기전자,37.0838446613824,126.912092098649
화성발안일반산업단지,(주)테스,경기도 화성시 향남읍 구문천리 932-8,전기전자,37.0834315254992,126.899186560948
화성발안일반산업단지,(주)티엘에이치,경기도 화성시 향남읍 구문천리 935-24번지,전기전자,37.0835153409801,126.908544229006
화성발안일반산업단지,(주)한국이알이시,경기도 화성시 향남읍 구문천리 935-9번지,전기전자,37.0822329024287,126.91074358034
화성발안일반산업단지,(주)한국표준엔지니어링,경기도 화성시 향남읍 구문천리 935-12,전기전자,37.0819397000127,126.909798201048
화성발안일반산업단지,㈜첨단에스엔티,경기도 화성시 향남읍 구문천리 926-7,전기전자,37.0834756007263,126.911509603962
화성발안일반산업단지,가나종합철강(주),경기도 화성시 향남읍 하길리 1406-3,위험물등,37.0899956253769,126.918523655898
